kind,source_file,status,records_count,details
vacancy,vacancies.csv,ok,5,
resume,1.docx,ok,1,
resume,10.docx,ok,1,
resume,11.docx,ok,1,
resume,12.docx,ok,1,
resume,13.docx,ok,1,
resume,14.docx,ok,1,
resume,15.docx,ok,1,
resume,16.docx,ok,1,
resume,17.docx,ok,1,
resume,18.docx,ok,1,
resume,19.docx,ok,1,
resume,2.docx,ok,1,
resume,20.docx,ok,1,
resume,21.docx,ok,1,
resume,22.docx,ok,1,
resume,23.docx,ok,1,
resume,24.docx,ok,1,
resume,25.docx,ok,1,
resume,26.docx,ok,1,
resume,27.docx,ok,1,
resume,28.docx,ok,1,
resume,29.docx,ok,1,
resume,3.docx,ok,1,
resume,30.docx,ok,1,
resume,31.docx,ok,1,
resume,32.docx,ok,1,
resume,33.docx,ok,1,
resume,34.docx,ok,1,
resume,35.docx,ok,1,
resume,36.docx,ok,1,
resume,37.docx,ok,1,
resume,38.docx,ok,1,
resume,39.docx,ok,1,
resume,4.docx,ok,1,
resume,40.docx,ok,1,
resume,41.docx,ok,1,
resume,42.docx,ok,1,
resume,43.docx,ok,1,
resume,44.docx,ok,1,
resume,45.docx,ok,1,
resume,46.docx,ok,1,
resume,47.docx,ok,1,
resume,48.docx,ok,1,
resume,49.docx,ok,1,
resume,5.docx,ok,1,
resume,50.docx,ok,1,
resume,51.docx,ok,1,
resume,52.docx,ok,1,
resume,53.docx,ok,1,
resume,54.docx,ok,1,
resume,55.docx,ok,1,
resume,56.docx,ok,1,
resume,57.docx,ok,1,
resume,58.docx,ok,1,
resume,59.docx,ok,1,
resume,6.docx,ok,1,
resume,60.docx,ok,1,
resume,61.docx,ok,1,
resume,62.docx,ok,1,
resume,63.docx,ok,1,
resume,64.docx,ok,1,
resume,65.docx,ok,1,
resume,7.docx,ok,1,
resume,8.docx,ok,1,
resume,9.docx,ok,1,
