vacancy_id,resume_id,selection_bucket,auto_score,score_num,resolved_label,rank
V00001,R00048,top,0.680265,0.680265,2,1
V00001,R00018,top,0.563179,0.563179,2,2
V00001,R00006,top,0.534479,0.534479,2,3
V00001,R00063,top,0.43669,0.43669,1,4
V00001,R00056,top,0.410841,0.410841,1,5
V00001,R00065,top,0.368531,0.368531,1,6
V00001,R00054,top,0.359229,0.359229,1,7
V00001,R00042,top,0.323777,0.323777,1,8
V00001,R00059,borderline,0.161403,0.161403,0,9
V00001,R00010,borderline,0.158162,0.158162,0,10
V00001,R00046,borderline,0.157528,0.157528,0,11
V00001,R00031,borderline,0.157209,0.157209,0,12
V00001,R00033,borderline,0.15392,0.15392,0,13
V00001,R00038,borderline,0.1535,0.1535,0,14
V00001,R00028,random_negative,0.149232,0.149232,0,15
V00001,R00016,random_negative,0.146484,0.146484,0,16
V00001,R00050,random_negative,0.146472,0.146472,0,17
V00001,R00022,random_negative,0.087939,0.087939,0,18
V00001,R00013,random_negative,0.087327,0.087327,0,19
V00001,R00053,random_negative,0.081109,0.081109,0,20
V00002,R00005,top,0.566671,0.566671,1,1
V00002,R00009,top,0.547894,0.547894,1,2
V00002,R00040,top,0.539037,0.539037,2,3
V00002,R00050,top,0.519296,0.519296,1,4
V00002,R00016,top,0.518161,0.518161,2,5
V00002,R00013,top,0.503783,0.503783,1,6
V00002,R00027,top,0.503182,0.503182,2,7
V00002,R00033,top,0.490943,0.490943,2,8
V00002,R00062,borderline,0.136393,0.136393,1,9
V00002,R00065,borderline,0.136018,0.136018,0,10
V00002,R00032,borderline,0.135982,0.135982,0,11
V00002,R00063,borderline,0.135393,0.135393,0,12
V00002,R00023,borderline,0.135222,0.135222,1,13
V00002,R00001,borderline,0.13506,0.13506,1,14
V00002,R00054,random_negative,0.129129,0.129129,0,15
V00002,R00059,random_negative,0.128713,0.128713,1,16
V00002,R00043,random_negative,0.127124,0.127124,0,17
V00002,R00052,random_negative,0.12646,0.12646,0,18
V00002,R00014,random_negative,0.100321,0.100321,0,19
V00002,R00024,random_negative,0.097746,0.097746,0,20
V00003,R00025,top,0.199481,0.199481,2,1
V00003,R00035,top,0.189944,0.189944,1,2
V00003,R00043,top,0.189724,0.189724,0,3
V00003,R00063,top,0.189401,0.189401,0,4
V00003,R00062,top,0.1842,0.1842,0,5
V00003,R00046,top,0.156705,0.156705,0,6
V00003,R00017,top,0.148524,0.148524,0,7
V00003,R00001,top,0.146364,0.146364,2,8
V00003,R00051,borderline,0.132604,0.132604,1,9
V00003,R00032,borderline,0.132309,0.132309,0,10
V00003,R00052,borderline,0.132,0.132,0,11
V00003,R00002,borderline,0.129704,0.129704,0,12
V00003,R00030,borderline,0.128389,0.128389,1,13
V00003,R00054,borderline,0.128212,0.128212,0,14
V00003,R00039,random_negative,0.100465,0.100465,1,15
V00003,R00018,random_negative,0.099868,0.099868,0,16
V00003,R00022,random_negative,0.098803,0.098803,1,17
V00003,R00057,random_negative,0.098734,0.098734,0,18
V00003,R00044,random_negative,0.098651,0.098651,1,19
V00003,R00050,random_negative,0.095639,0.095639,0,20
V00004,R00019,top,0.510517,0.510517,2,1
V00004,R00013,top,0.503512,0.503512,2,2
V00004,R00008,top,0.483401,0.483401,2,3
V00004,R00051,top,0.427158,0.427158,2,4
V00004,R00056,top,0.427142,0.427142,2,5
V00004,R00042,top,0.408398,0.408398,1,6
V00004,R00034,top,0.399482,0.399482,2,7
V00004,R00020,top,0.38892,0.38892,2,8
V00004,R00010,borderline,0.14267,0.14267,0,9
V00004,R00036,borderline,0.141936,0.141936,1,10
V00004,R00001,borderline,0.141931,0.141931,1,11
V00004,R00039,borderline,0.140187,0.140187,2,12
V00004,R00007,borderline,0.139405,0.139405,1,13
V00004,R00014,borderline,0.139376,0.139376,0,14
V00004,R00055,random_negative,0.081494,0.081494,0,15
V00004,R00041,random_negative,0.075044,0.075044,1,16
V00004,R00006,random_negative,0.046489,0.046489,1,17
V00004,R00002,random_negative,0.039021,0.039021,0,18
V00004,R00065,random_negative,0.038581,0.038581,0,19
V00004,R00026,random_negative,0.036508,0.036508,0,20
V00005,R00003,top,0.59339,0.59339,2,1
V00005,R00056,top,0.556382,0.556382,2,2
V00005,R00015,top,0.529627,0.529627,2,3
V00005,R00049,top,0.520163,0.520163,2,4
V00005,R00047,top,0.520121,0.520121,2,5
V00005,R00029,top,0.517273,0.517273,1,6
V00005,R00042,top,0.47777,0.47777,2,7
V00005,R00018,top,0.466904,0.466904,2,8
V00005,R00061,borderline,0.081119,0.081119,1,9
V00005,R00057,borderline,0.081098,0.081098,1,10
V00005,R00037,borderline,0.080837,0.080837,1,11
V00005,R00040,borderline,0.080703,0.080703,1,12
V00005,R00013,borderline,0.080639,0.080639,1,13
V00005,R00027,borderline,0.080335,0.080335,1,14
V00005,R00032,random_negative,0.028158,0.028158,0,15
V00005,R00035,random_negative,0.025,0.025,2,16
V00005,R00041,random_negative,0.024531,0.024531,1,17
V00005,R00059,random_negative,0.023964,0.023964,1,18
V00005,R00009,random_negative,0.023475,0.023475,1,19
V00005,R00002,random_negative,0.021206,0.021206,0,20
